"Loco","PERIOD","n_chamado","n_total","callrate_pct"
"Dal_02:19525326-19525352",2,12,24,50
"Dal_02:19553936-19553968",2,6,24,25
"Dal_02:19554638-19554680",2,7,24,29.17
"Dal_02:19558031-19558078",3,14,24,58.33
"Dal_02:19567405-19567430",6,0,24,0
"Dal_02:19571420-19571445",2,19,24,79.17
"Dal_02:19572020-19572053",1,3,24,12.5
"Dal_02:19576521-19576548",2,13,24,54.17
"Dal_02:19604074-19604104",2,6,24,25
"Dal_02:19604843-19604868",4,8,24,33.33
"Dal_02:19704683-19704731",2,7,24,29.17
"Dal_02:19721948-19722007",2,2,24,8.33
"Dal_02:19745108-19745137",2,7,24,29.17
"Dal_02:19793942-19793967",3,16,24,66.67
"Dal_02:19826489-19826514",3,14,24,58.33
"Dal_02:19841788-19841813",3,13,24,54.17
"Dal_02:19856897-19856929",2,5,24,20.83
"Dal_02:19890864-19890922",2,5,24,20.83
"Dal_02:19894167-19894197",3,16,24,66.67
"Dal_02:19912586-19912617",2,12,24,50
"Dal_02:19926275-19926300",3,9,24,37.5
"Dal_02:19933903-19933929",2,11,24,45.83
"Dal_02:19946074-19946102",2,12,24,50
"Dal_02:19968997-19969029",2,5,24,20.83
"Dal_02:20000563-20000594",8,13,24,54.17
"Dal_02:20008155-20008184",5,12,24,50
"Dal_02:20014198-20014247",2,7,24,29.17
"Dal_02:20036318-20036351",5,9,24,37.5
"Dal_02:20071891-20071925",2,13,24,54.17
"Dal_02:20078410-20078442",2,10,24,41.67
"Dal_02:20111947-20112015",2,9,24,37.5
"Dal_02:20118957-20118991",3,17,24,70.83
"Dal_02:20145038-20145066",3,16,24,66.67
"Dal_02:20152960-20152984",2,10,24,41.67
"Dal_02:20157384-20157415",5,18,24,75
"Dal_02:20179332-20179370",2,0,24,0
"Dal_02:20183959-20183990",4,16,24,66.67
"Dal_02:20208181-20208249",2,1,24,4.17
"Dal_02:20211953-20211979",2,8,24,33.33
"Dal_02:20221976-20222040",4,11,24,45.83
"Dal_02:20265782-20265806",2,11,24,45.83
"Dal_02:20271677-20271741",3,12,24,50
"Dal_02:20298461-20298489",2,13,24,54.17
"Dal_02:20311428-20311459",2,11,24,45.83
"Dal_02:20330623-20330660",2,4,24,16.67
"Dal_02:20338634-20338676",7,12,24,50
"Dal_02:20343366-20343401",6,11,24,45.83
"Dal_02:20362587-20362628",6,11,24,45.83
"Dal_02:20386602-20386640",2,1,24,4.17
"Dal_02:20394660-20394689",2,10,24,41.67
"Dal_02:20420919-20420943",2,3,24,12.5
"Dal_02:20432893-20432932",2,12,24,50
"Dal_02:20435812-20435879",2,11,24,45.83
"Dal_02:20457939-20457964",6,20,24,83.33
"Dal_02:20479940-20479981",2,1,24,4.17
"Dal_02:20482423-20482454",2,9,24,37.5
"Dal_02:20492012-20492054",3,11,24,45.83
"Dal_02:20506410-20506447",2,7,24,29.17
"Dal_02:20513842-20513872",2,4,24,16.67
"Dal_02:20521452-20521485",2,2,24,8.33
"Dal_02:20553854-20553886",7,19,24,79.17
"Dal_02:20601434-20601467",2,4,24,16.67
"Dal_02:20611830-20611856",2,16,24,66.67
"Dal_02:20669281-20669307",6,17,24,70.83
"Dal_02:20678818-20678851",3,11,24,45.83
"Dal_02:20695947-20696006",2,1,24,4.17
"Dal_02:20697748-20697778",2,13,24,54.17
"Dal_02:20720191-20720222",3,15,24,62.5
"Dal_02:20735983-20736014",7,19,24,79.17
"Dal_02:20745537-20745569",2,2,24,8.33
"Dal_02:20747434-20747476",4,15,24,62.5
"Dal_02:20780435-20780476",2,2,24,8.33
"Dal_02:20793333-20793361",3,5,24,20.83
"Dal_02:20797569-20797601",2,3,24,12.5
"Dal_02:20834727-20834766",3,12,24,50
"Dal_02:20883280-20883345",2,1,24,4.17
"Dal_02:20904888-20904912",3,5,24,20.83
"Dal_02:20914243-20914276",2,0,24,0
"Dal_02:20926378-20926413",3,11,24,45.83
"Dal_02:20957695-20957736",9,16,24,66.67
"Dal_02:20961295-20961337",2,7,24,29.17
"Dal_02:20963146-20963172",5,10,24,41.67
"Dal_02:20980656-20980683",5,11,24,45.83
"Dal_02:20984017-20984053",2,15,24,62.5
"Dal_02:20985555-20985588",2,0,24,0
"Dal_02:20987340-20987384",9,15,24,62.5
"Dal_02:20998424-20998449",2,10,24,41.67
"Dal_02:21001513-21001566",2,4,24,16.67
"Dal_02:21011957-21011988",6,9,24,37.5
"Dal_02:21023069-21023103",3,9,24,37.5
"Dal_02:21031149-21031188",2,7,24,29.17
"Dal_02:21043255-21043289",4,0,24,0
"Dal_02:21050692-21050716",1,6,24,25
"Dal_02:21068343-21068370",2,0,24,0
"Dal_02:21071389-21071427",4,14,24,58.33
"Dal_02:21076933-21076962",2,10,24,41.67
"Dal_02:21077372-21077400",4,5,24,20.83
"Dal_02:21116837-21116873",2,2,24,8.33
"Dal_02:21147465-21147526",4,4,24,16.67
"Dal_02:21149727-21149751",3,10,24,41.67
"Dal_02:21205032-21205064",2,3,24,12.5
"Dal_02:21217126-21217161",3,9,24,37.5
"Dal_02:21244037-21244065",3,19,24,79.17
"Dal_02:21244383-21244416",6,13,24,54.17
"Dal_02:21252775-21252806",6,10,24,41.67
"Dal_02:21261207-21261266",3,10,24,41.67
"Dal_02:21279105-21279152",2,2,24,8.33
"Dal_02:21280542-21280589",6,21,24,87.5
"Dal_02:21287020-21287051",3,12,24,50
"Dal_02:21327282-21327316",2,12,24,50
"Dal_02:21327505-21327540",5,10,24,41.67
"Dal_02:21339828-21339869",2,0,24,0
"Dal_02:21356220-21356252",2,2,24,8.33
"Dal_02:21382283-21382310",2,2,24,8.33
"Dal_02:21406002-21406045",3,9,24,37.5
"Dal_02:21426324-21426355",2,6,24,25
"Dal_02:21439676-21439703",2,6,24,25
"Dal_02:21476688-21476730",2,8,24,33.33
"Dal_02:21476904-21476935",2,10,24,41.67
"Dal_02:21524268-21524292",7,18,24,75
"Dal_02:21543759-21543787",6,0,24,0
"Dal_02:21552499-21552558",2,1,24,4.17
"Dal_02:21603370-21603416",5,12,24,50
"Dal_02:21620357-21620397",2,8,24,33.33
"Dal_02:21632852-21632885",2,7,24,29.17
"Dal_02:21639149-21639183",5,13,24,54.17
"Dal_02:21655788-21655818",2,9,24,37.5
"Dal_02:21659488-21659519",3,10,24,41.67
"Dal_02:21670417-21670442",3,19,24,79.17
"Dal_02:21694552-21694586",2,11,24,45.83
"Dal_02:21703112-21703175",2,11,24,45.83
"Dal_02:21720742-21720771",2,6,24,25
"Dal_02:21731168-21731192",1,1,24,4.17
"Dal_02:21735181-21735225",5,15,24,62.5
"Dal_02:21739944-21739982",2,9,24,37.5
"Dal_02:21762348-21762386",2,6,24,25
"Dal_02:21766762-21766804",2,9,24,37.5
"Dal_02:21771103-21771141",6,22,24,91.67
"Dal_02:21774712-21774743",2,10,24,41.67
"Dal_02:21795287-21795327",6,9,24,37.5
"Dal_02:21800944-21801009",2,3,24,12.5
"Dal_02:21891485-21891519",3,9,24,37.5
"Dal_02:21951131-21951170",2,8,24,33.33
"Dal_02:21979774-21979807",5,12,24,50
"Dal_02:22040376-22040404",2,13,24,54.17
"Dal_02:22040743-22040771",2,5,24,20.83
"Dal_02:22043147-22043174",2,3,24,12.5
"Dal_02:22044789-22044816",2,10,24,41.67
"Dal_02:22059865-22059893",5,22,24,91.67
"Dal_02:22064397-22064429",6,12,24,50
"Dal_02:22082747-22082775",4,17,24,70.83
"Dal_02:22088111-22088165",3,9,24,37.5
"Dal_02:22103225-22103274",2,5,24,20.83
"Dal_02:22105264-22105291",2,11,24,45.83
"Dal_02:22106326-22106357",2,9,24,37.5
"Dal_02:22121226-22121250",3,16,24,66.67
"Dal_02:22124293-22124317",6,12,24,50
"Dal_02:22145721-22145746",6,17,24,70.83
"Dal_02:22147054-22147091",2,5,24,20.83
"Dal_02:22148155-22148214",2,0,24,0
"Dal_02:22149635-22149663",2,7,24,29.17
"Dal_02:22159094-22159130",2,8,24,33.33
"Dal_02:22161900-22161941",2,1,24,4.17
"Dal_02:22172492-22172516",3,12,24,50
"Dal_02:22183052-22183121",4,0,24,0
"Dal_02:22196736-22196780",8,14,24,58.33
"Dal_02:22197529-22197557",6,11,24,45.83
"Dal_02:22211261-22211303",3,24,24,100
"Dal_02:22211549-22211601",6,11,24,45.83
"Dal_02:22216545-22216587",2,12,24,50
"Dal_02:22237922-22237953",2,6,24,25
"Dal_02:22254292-22254330",4,6,24,25
"Dal_02:22259343-22259371",2,10,24,41.67
"Dal_02:22262054-22262096",2,4,24,16.67
"Dal_02:22299754-22299780",3,9,24,37.5
"Dal_02:22311742-22311770",3,10,24,41.67
"Dal_02:22319107-22319145",2,10,24,41.67
"Dal_02:22319402-22319446",2,16,24,66.67
"Dal_02:22353894-22353919",4,8,24,33.33
"Dal_02:22354638-22354694",2,1,24,4.17
"Dal_02:22400373-22400417",2,10,24,41.67
"Dal_02:22416209-22416239",3,14,24,58.33
"Dal_02:22423768-22423798",7,9,24,37.5
"Dal_02:22433293-22433327",4,16,24,66.67
"Dal_02:22434816-22434852",2,6,24,25
"Dal_02:22468804-22468835",2,10,24,41.67
"Dal_02:22515743-22515789",2,3,24,12.5
"Dal_02:22527214-22527254",2,15,24,62.5
"Dal_02:22535260-22535288",2,13,24,54.17
"Dal_02:22541018-22541042",5,17,24,70.83
"Dal_02:22544410-22544444",2,4,24,16.67
"Dal_02:22551944-22552005",2,4,24,16.67
"Dal_02:22626369-22626393",2,0,24,0
"Dal_02:22660472-22660501",3,5,24,20.83
"Dal_02:22668953-22668978",3,16,24,66.67
"Dal_02:22669955-22669986",6,17,24,70.83
"Dal_02:22707252-22707287",5,11,24,45.83
"Dal_02:22708089-22708113",7,24,24,100
"Dal_02:22720404-22720445",2,7,24,29.17
"Dal_02:22722629-22722673",3,10,24,41.67
"Dal_02:22730128-22730169",2,6,24,25
"Dal_02:22733126-22733169",2,7,24,29.17
"Dal_02:22735203-22735243",2,7,24,29.17
"Dal_02:22746620-22746670",2,7,24,29.17
"Dal_02:22749852-22749876",7,15,24,62.5
"Dal_02:22776743-22776784",2,13,24,54.17
"Dal_02:22781836-22781866",2,6,24,25
"Dal_02:22858660-22858706",3,12,24,50
"Dal_02:22860517-22860543",5,15,24,62.5
"Dal_02:22898745-22898781",6,17,24,70.83
"Dal_02:22926348-22926386",6,12,24,50
"Dal_02:22950969-22951007",4,17,24,70.83
"Dal_02:22954818-22954855",2,5,24,20.83
"Dal_02:22980209-22980244",2,9,24,37.5
"Dal_02:22998310-22998362",2,6,24,25
"Dal_02:23002846-23002902",3,4,24,16.67
"Dal_02:23060903-23060935",2,10,24,41.67
"Dal_02:23072249-23072289",2,10,24,41.67
"Dal_02:23089127-23089176",3,9,24,37.5
"Dal_02:23112604-23112669",3,7,24,29.17
"Dal_02:23112966-23112999",2,12,24,50
"Dal_02:23113370-23113409",2,6,24,25
"Dal_02:23123393-23123421",2,10,24,41.67
"Dal_02:23135450-23135479",3,18,24,75
"Dal_02:23137776-23137801",2,6,24,25
"Dal_02:23140373-23140424",6,15,24,62.5
"Dal_02:23168063-23168088",2,7,24,29.17
"Dal_02:23191299-23191325",3,18,24,75
"Dal_02:23221081-23221126",2,5,24,20.83
"Dal_02:23225493-23225543",2,12,24,50
"Dal_02:23238534-23238601",2,2,24,8.33
"Dal_02:23239398-23239448",3,12,24,50
"Dal_02:23246373-23246400",7,21,24,87.5
"Dal_02:23247430-23247458",2,11,24,45.83
"Dal_02:23254685-23254719",3,7,24,29.17
"Dal_02:23256532-23256558",2,12,24,50
"Dal_02:23272781-23272819",5,14,24,58.33
"Dal_02:23286443-23286472",3,15,24,62.5
"Dal_02:23295504-23295534",3,17,24,70.83
"Dal_02:23298245-23298293",2,3,24,12.5
"Dal_02:23300831-23300876",2,7,24,29.17
"Dal_02:23316661-23316690",3,13,24,54.17
"Dal_02:23353457-23353515",2,5,24,20.83
"Dal_02:23474617-23474642",2,10,24,41.67
"Dal_02:23516696-23516721",4,15,24,62.5
"Dal_02:23537833-23537872",4,15,24,62.5
"Dal_02:23539528-23539571",2,7,24,29.17
"Dal_02:23570648-23570680",9,11,24,45.83
"Dal_02:23620963-23620993",3,13,24,54.17
"Dal_02:23663550-23663593",6,11,24,45.83
"Dal_02:23693673-23693699",7,13,24,54.17
"Dal_02:23709973-23710005",3,17,24,70.83
"Dal_02:23751120-23751149",2,3,24,12.5
"Dal_02:23773077-23773146",2,2,24,8.33
"Dal_02:23787867-23787902",3,9,24,37.5
"Dal_02:23788694-23788719",2,14,24,58.33
"Dal_02:23803604-23803630",2,5,24,20.83
"Dal_02:23826752-23826783",3,8,24,33.33
"Dal_02:23910247-23910291",3,8,24,33.33
"Dal_02:23944742-23944773",6,19,24,79.17
"Dal_02:23979813-23979851",3,2,24,8.33
"Dal_02:23980535-23980564",9,9,24,37.5
"Dal_02:23981060-23981109",3,17,24,70.83
"Dal_02:24010073-24010101",6,15,24,62.5
"Dal_02:24013829-24013860",8,0,24,0
"Dal_02:24027268-24027306",3,10,24,41.67
"Dal_02:24032286-24032321",2,12,24,50
"Dal_02:24047799-24047823",1,6,24,25
"Dal_02:24058947-24058974",2,4,24,16.67
"Dal_02:24059677-24059709",3,15,24,62.5
"Dal_02:24069236-24069267",2,9,24,37.5
"Dal_02:24069463-24069512",2,13,24,54.17
"Dal_02:24077681-24077714",6,9,24,37.5
"Dal_02:24090487-24090528",2,15,24,62.5
"Dal_02:24092956-24093011",3,7,24,29.17
"Dal_02:24093939-24093969",2,3,24,12.5
"Dal_02:24138644-24138672",2,11,24,45.83
"Dal_02:24148478-24148503",2,4,24,16.67
"Dal_02:24189907-24189950",3,12,24,50
"Dal_02:24199488-24199547",2,2,24,8.33
"Dal_02:24212048-24212095",2,3,24,12.5
"Dal_02:24248067-24248117",2,4,24,16.67
"Dal_02:24266218-24266248",6,11,24,45.83
"Dal_02:24269067-24269118",2,2,24,8.33
"Dal_02:24310344-24310390",2,4,24,16.67
"Dal_02:24314155-24314189",2,7,24,29.17
"Dal_02:24326980-24327011",2,14,24,58.33
"Dal_02:24330943-24330969",4,10,24,41.67
"Dal_02:24339702-24339734",2,8,24,33.33
"Dal_02:24341503-24341527",3,16,24,66.67
"Dal_02:24351657-24351685",3,12,24,50
"Dal_02:24351955-24351990",2,14,24,58.33
"Dal_02:24360665-24360701",2,14,24,58.33
"Dal_02:24373038-24373063",3,10,24,41.67
"Dal_02:24409917-24409952",2,8,24,33.33
"Dal_02:24419966-24419991",2,12,24,50
"Dal_02:24440410-24440456",5,7,24,29.17
"Dal_02:24503183-24503209",6,6,24,25
"Dal_02:24518102-24518131",2,8,24,33.33
"Dal_02:24519327-24519353",5,11,24,45.83
"Dal_02:24522254-24522278",2,0,24,0
"Dal_02:24522377-24522439",2,6,24,25
"Dal_02:24536438-24536484",2,9,24,37.5
"Dal_02:24554133-24554188",4,7,24,29.17
"Dal_02:24559704-24559736",2,12,24,50
"Dal_02:24565364-24565390",2,6,24,25
"Dal_02:24568096-24568151",2,7,24,29.17
"Dal_02:24589445-24589472",2,12,24,50
"Dal_02:24602064-24602105",3,6,24,25
"Dal_02:24609863-24609894",2,6,24,25
"Dal_02:24619235-24619263",5,15,24,62.5
"Dal_02:24624092-24624123",2,10,24,41.67
"Dal_02:24624286-24624310",5,6,24,25
"Dal_02:24640485-24640525",2,4,24,16.67
"Dal_02:24655187-24655228",2,7,24,29.17
"Dal_02:24656716-24656783",2,12,24,50
"Dal_02:24707349-24707383",2,1,24,4.17
"Dal_02:24715762-24715793",2,6,24,25
"Dal_02:24732250-24732274",8,16,24,66.67
"Dal_02:24759778-24759814",4,14,24,58.33
"Dal_02:24774159-24774184",2,4,24,16.67
"Dal_02:24848171-24848214",4,7,24,29.17
"Dal_02:24874360-24874384",4,2,24,8.33
"Dal_02:24899878-24899921",2,1,24,4.17
"Dal_02:24904066-24904097",2,11,24,45.83
"Dal_02:24906458-24906485",3,2,24,8.33
"Dal_02:24915073-24915114",3,20,24,83.33
"Dal_02:24919097-24919136",4,14,24,58.33
"Dal_02:24931107-24931160",4,11,24,45.83
"Dal_02:24933808-24933865",2,10,24,41.67
"Dal_02:24941928-24941997",3,10,24,41.67
"Dal_02:24958549-24958577",9,14,24,58.33
"Dal_02:24962168-24962201",2,10,24,41.67
"Dal_02:24973140-24973201",3,7,24,29.17
"Dal_02:24973819-24973860",3,7,24,29.17
"Dal_02:24980336-24980366",1,10,24,41.67
"Dal_02:24984238-24984287",2,14,24,58.33
"Dal_02:24991537-24991606",9,17,24,70.83
"Dal_02:24999263-24999306",2,1,24,4.17
"Dal_02:25023887-25023926",6,12,24,50
"Dal_02:25046324-25046360",3,12,24,50
"Dal_02:25051821-25051855",2,8,24,33.33
"Dal_02:25066645-25066673",6,13,24,54.17
"Dal_02:25077920-25077948",9,24,24,100
"Dal_02:25162457-25162492",2,11,24,45.83
"Dal_02:25194938-25194971",2,3,24,12.5
"Dal_02:25199982-25200010",3,14,24,58.33
"Dal_02:25222960-25222984",5,14,24,58.33
"Dal_02:25224362-25224390",3,12,24,50
"Dal_02:25256098-25256143",2,2,24,8.33
"Dal_02:25261319-25261378",2,9,24,37.5
"Dal_02:25264056-25264082",6,14,24,58.33
"Dal_02:25269318-25269359",2,8,24,33.33
"Dal_02:25283981-25284009",9,5,24,20.83
"Dal_02:25289534-25289568",2,13,24,54.17
"Dal_02:25305581-25305622",2,6,24,25
"Dal_02:25308173-25308208",3,14,24,58.33
"Dal_02:25311575-25311599",2,9,24,37.5
"Dal_02:25341034-25341064",9,0,24,0
"Dal_02:25341129-25341167",6,21,24,87.5
"Dal_02:25350659-25350683",8,12,24,50
"Dal_02:25363195-25363236",3,11,24,45.83
"Dal_02:25366172-25366196",7,13,24,54.17
"Dal_02:25375663-25375703",6,11,24,45.83
"Dal_02:25410083-25410132",2,15,24,62.5
"Dal_02:25419965-25420026",3,9,24,37.5
"Dal_02:25425560-25425596",2,7,24,29.17
"Dal_02:25427844-25427873",6,18,24,75
"Dal_02:25429134-25429160",4,19,24,79.17
"Dal_02:25446105-25446131",4,6,24,25
"Dal_02:25461782-25461823",5,2,24,8.33
"Dal_02:25466970-25467024",2,12,24,50
"Dal_02:25468744-25468784",2,7,24,29.17
"Dal_02:25470937-25470976",2,8,24,33.33
"Dal_02:25471797-25471827",9,12,24,50
"Dal_02:25476377-25476408",2,7,24,29.17
"Dal_02:25482283-25482325",2,2,24,8.33
"Dal_02:25498219-25498260",2,8,24,33.33
"Dal_02:25524298-25524344",3,19,24,79.17
"Dal_02:25582600-25582625",2,2,24,8.33
"Dal_02:25582793-25582817",4,18,24,75
"Dal_02:25636126-25636157",3,7,24,29.17
"Dal_02:25645893-25645938",2,10,24,41.67
"Dal_02:25652704-25652738",6,12,24,50
"Dal_02:25750025-25750083",2,7,24,29.17
"Dal_02:25754802-25754832",3,7,24,29.17
"Dal_02:25757870-25757907",2,3,24,12.5
"Dal_02:25802384-25802432",2,7,24,29.17
"Dal_02:25828451-25828510",2,0,24,0
"Dal_02:25841560-25841586",4,15,24,62.5
"Dal_02:25847272-25847303",4,9,24,37.5
"Dal_02:25852861-25852904",4,6,24,25
"Dal_02:25854005-25854036",5,10,24,41.67
"Dal_02:25854329-25854367",4,13,24,54.17
"Dal_02:25861472-25861496",3,6,24,25
"Dal_02:25862352-25862421",2,6,24,25
"Dal_02:25942626-25942671",6,5,24,20.83
"Dal_02:25957837-25957866",3,1,24,4.17
"Dal_02:26028783-26028832",3,16,24,66.67
"Dal_02:26032753-26032790",3,7,24,29.17
"Dal_02:26037984-26038052",2,8,24,33.33
"Dal_02:26043618-26043648",2,15,24,62.5
"Dal_02:26044689-26044721",2,12,24,50
"Dal_02:26049697-26049730",6,17,24,70.83
"Dal_02:26052582-26052606",2,8,24,33.33
"Dal_02:26067886-26067923",2,8,24,33.33
"Dal_02:26079687-26079715",3,11,24,45.83
"Dal_02:26093447-26093513",4,4,24,16.67
"Dal_02:26108994-26109020",2,11,24,45.83
"Dal_02:26153499-26153564",2,4,24,16.67
"Dal_02:26159775-26159812",3,9,24,37.5
"Dal_02:26159977-26160022",2,7,24,29.17
"Dal_02:26225680-26225736",2,2,24,8.33
"Dal_02:26257355-26257409",2,5,24,20.83
"Dal_02:26331236-26331261",3,8,24,33.33
"Dal_02:26343760-26343788",9,14,24,58.33
"Dal_02:26435047-26435105",4,2,24,8.33
"Dal_02:26447733-26447766",4,7,24,29.17
"Dal_02:26465910-26465953",2,7,24,29.17
"Dal_02:26467859-26467884",2,0,24,0
"Dal_02:26504356-26504380",5,2,24,8.33
"Dal_02:26518402-26518452",4,14,24,58.33
"Dal_02:26619819-26619856",2,14,24,58.33
"Dal_02:26628359-26628385",7,15,24,62.5
"Dal_02:26643157-26643194",2,3,24,12.5
"Dal_02:26655301-26655347",2,2,24,8.33
"Dal_02:26685630-26685687",2,3,24,12.5
"Dal_02:26693668-26693702",2,3,24,12.5
"Dal_02:26714228-26714263",2,3,24,12.5
"Dal_02:26742490-26742526",1,4,24,16.67
"Dal_02:26760638-26760673",2,10,24,41.67
"Dal_02:26772842-26772866",1,10,24,41.67
"Dal_02:26817992-26818025",2,5,24,20.83
"Dal_02:26818446-26818494",2,1,24,4.17
"Dal_02:26834417-26834477",4,9,24,37.5
"Dal_02:26861511-26861540",2,4,24,16.67
"Dal_02:26864463-26864500",2,9,24,37.5
"Dal_02:26892583-26892616",8,11,24,45.83
"Dal_02:26914104-26914128",3,13,24,54.17
"Dal_02:26923612-26923658",3,10,24,41.67
"Dal_02:26949327-26949357",2,2,24,8.33
"Dal_02:26957107-26957135",4,21,24,87.5
"Dal_02:26973789-26973819",4,10,24,41.67
"Dal_02:26985517-26985551",4,2,24,8.33
"Dal_02:27053816-27053844",3,20,24,83.33
"Dal_02:27126297-27126361",2,2,24,8.33
"Dal_02:27130907-27130960",2,0,24,0
"Dal_02:27131690-27131754",2,0,24,0
"Dal_02:27146358-27146397",2,12,24,50
"Dal_02:27163304-27163346",4,4,24,16.67
"Dal_02:27194316-27194341",2,0,24,0
"Dal_02:27202480-27202507",3,4,24,16.67
"Dal_02:27237742-27237781",2,0,24,0
"Dal_02:27248385-27248442",4,11,24,45.83
"Dal_02:27255883-27255933",2,2,24,8.33
"Dal_02:27260707-27260767",2,1,24,4.17
"Dal_02:27289393-27289443",2,9,24,37.5
"Dal_02:27316105-27316134",2,14,24,58.33
"Dal_02:27318133-27318166",2,1,24,4.17
"Dal_02:27327735-27327763",3,13,24,54.17
"Dal_02:27353603-27353633",2,7,24,29.17
"Dal_02:27374913-27374964",2,1,24,4.17
"Dal_02:27385966-27385994",2,4,24,16.67
"Dal_02:27411231-27411275",6,11,24,45.83
"Dal_02:27502186-27502230",2,2,24,8.33
"Dal_02:27508721-27508750",2,10,24,41.67
"Dal_02:27516459-27516497",2,7,24,29.17
"Dal_02:27527953-27527981",3,13,24,54.17
"Dal_02:27568152-27568183",2,1,24,4.17
"Dal_02:27674641-27674672",2,1,24,4.17
"Dal_02:27720997-27721053",3,8,24,33.33
"Dal_02:27753242-27753283",2,9,24,37.5
"Dal_02:27756637-27756679",2,8,24,33.33
"Dal_02:27765059-27765087",3,12,24,50
"Dal_02:27769518-27769544",2,15,24,62.5
"Dal_02:27786826-27786854",2,10,24,41.67
"Dal_02:27815659-27815693",2,4,24,16.67
"Dal_02:27818435-27818475",3,2,24,8.33
"Dal_02:27818922-27818948",6,2,24,8.33
"Dal_02:27821051-27821118",2,8,24,33.33
"Dal_02:27821152-27821184",2,10,24,41.67
"Dal_02:27857109-27857142",3,15,24,62.5
"Dal_02:27868679-27868704",2,7,24,29.17
"Dal_02:27879806-27879841",3,5,24,20.83
"Dal_02:27885667-27885703",2,10,24,41.67
"Dal_02:27910552-27910581",2,3,24,12.5
"Dal_02:27911243-27911267",3,7,24,29.17
"Dal_02:27932435-27932463",2,9,24,37.5
"Dal_02:27954103-27954151",2,9,24,37.5
"Dal_02:27979145-27979199",2,2,24,8.33
"Dal_02:28011386-28011425",8,6,24,25
"Dal_02:28049968-28049993",3,8,24,33.33
"Dal_02:28051480-28051506",2,4,24,16.67
"Dal_02:28052417-28052468",2,1,24,4.17
"Dal_02:28064082-28064114",2,5,24,20.83
"Dal_02:28075769-28075803",2,7,24,29.17
"Dal_02:28076542-28076587",2,6,24,25
"Dal_02:28084569-28084594",3,15,24,62.5
"Dal_02:28089311-28089340",4,15,24,62.5
"Dal_02:28122819-28122877",2,7,24,29.17
"Dal_02:28131599-28131632",2,4,24,16.67
"Dal_02:28156323-28156366",3,1,24,4.17
"Dal_02:28156769-28156794",7,2,24,8.33
"Dal_02:28158997-28159056",2,3,24,12.5
"Dal_02:28175956-28175996",2,0,24,0
"Dal_02:28176131-28176184",2,0,24,0
"Dal_02:28215572-28215596",7,5,24,20.83
"Dal_02:28289280-28289313",9,1,24,4.17
"Dal_02:28290028-28290056",3,12,24,50
"Dal_02:28299425-28299492",2,5,24,20.83
"Dal_02:28310407-28310439",8,13,24,54.17
"Dal_02:28317471-28317510",2,12,24,50
"Dal_02:28322180-28322204",2,6,24,25
"Dal_02:28336226-28336260",9,13,24,54.17
"Dal_02:28336330-28336377",2,9,24,37.5
"Dal_02:28341998-28342029",2,6,24,25
"Dal_02:28348011-28348052",5,2,24,8.33
"Dal_02:28381933-28382002",2,5,24,20.83
"Dal_02:28391424-28391455",2,10,24,41.67
"Dal_02:28399800-28399830",2,2,24,8.33
"Dal_02:28409338-28409380",5,15,24,62.5
"Dal_02:28416320-28416348",3,11,24,45.83
"Dal_02:28422071-28422096",3,6,24,25
"Dal_02:28432736-28432767",3,13,24,54.17
"Dal_02:28444841-28444873",3,20,24,83.33
"Dal_02:28472216-28472270",6,9,24,37.5
"Dal_02:28472680-28472716",2,13,24,54.17
"Dal_02:28491411-28491469",2,4,24,16.67
"Dal_02:28566433-28566476",3,15,24,62.5
"Dal_02:28582394-28582421",3,0,24,0
"Dal_02:28599861-28599900",6,13,24,54.17
"Dal_02:28610037-28610077",2,12,24,50
"Dal_02:28611742-28611766",2,18,24,75
"Dal_02:28630053-28630096",2,4,24,16.67
"Dal_02:28687365-28687394",2,6,24,25
"Dal_02:28695953-28695986",3,6,24,25
"Dal_02:28705179-28705216",2,10,24,41.67
"Dal_02:28706918-28706968",2,1,24,4.17
"Dal_02:28715765-28715808",4,5,24,20.83
"Dal_02:28764624-28764659",2,1,24,4.17
"Dal_02:28772475-28772510",2,11,24,45.83
"Dal_02:28780483-28780516",6,9,24,37.5
"Dal_02:28784164-28784194",2,11,24,45.83
"Dal_02:28797198-28797265",3,6,24,25
"Dal_02:28797684-28797721",3,9,24,37.5
"Dal_02:28813121-28813151",3,14,24,58.33
"Dal_02:28847397-28847426",2,5,24,20.83
"Dal_02:28866723-28866773",2,2,24,8.33
"Dal_02:28939460-28939485",3,14,24,58.33
"Dal_02:28955754-28955784",2,11,24,45.83
"Dal_02:28998696-28998751",3,3,24,12.5
"Dal_02:29047190-29047233",3,14,24,58.33
"Dal_02:29060850-29060879",3,10,24,41.67
"Dal_02:29102099-29102149",2,6,24,25
"Dal_02:29102798-29102823",3,10,24,41.67
"Dal_02:29118603-29118643",2,1,24,4.17
"Dal_02:29151559-29151591",6,4,24,16.67
"Dal_02:29213004-29213032",2,0,24,0
"Dal_02:29249860-29249897",2,1,24,4.17
"Dal_02:29466582-29466610",8,0,24,0
"Dal_02:29503481-29503522",2,1,24,4.17
"Dal_02:29542815-29542848",2,4,24,16.67
"Dal_02:29550517-29550561",2,3,24,12.5
"Dal_02:29561796-29561848",2,1,24,4.17
"Dal_02:29578344-29578394",3,9,24,37.5
"Dal_02:29604958-29604986",3,17,24,70.83
"Dal_02:29613938-29613964",2,9,24,37.5
